Sentiment,Score,Id_Tweet,Negative,Neutral,Positive,Text_Tweet,Date_Tweet,Nb_interaction,retweet_count,reply_count,like_count,quote_count
Positive,0.636,1588527578754600960,0.039055794,0.3250956,0.63584864,"donald trump annonce qu’il va ""très, très, très probablement"" se représenter en 2024 à la présidentielle. t.co/8itfvkeune",2022-11-04 13:44:22+00:00,71,12,12,37,10
Positive,0.719,1588484744513216512,0.09674273,0.18428215,0.7189751,"manon est bénévole pour one, une ong qui lutte contre l'extrême pauvreté. et avec d'autres jeunes ambassadeurs et ambassadrices, elle va à la rencontre de députés pour les sensibiliser et compter sur leur soutien pour faire avancer cette lutte. brut l'a suivie. avec @one_fr t.co/vus99tovj3",2022-11-04 10:54:10+00:00,107,31,3,62,11
Negative,0.666,1588467086111625216,0.6656783,0.17741096,0.1569107,"l’état de notre planète et le changement climatique vous angoissent  dans notre podcast, retrouvez 5 conseils pour mieux vivre l’éco-anxiété. à écouter en exclusivité sur @spotifyfrance : t.co/vnaa0k6alm",2022-11-04 09:44:00+00:00,14,3,1,10,0
Neutral,0.411,1588431602291331072,0.3146614,0.410599,0.27473956,"œufs durs et café-calva... c'est comme ça qu'il a découvert paris. sur une idée d'un pote, le journaliste sportif @1darrentulett a quitté l'angleterre pour la capitale française. et son premier jour en france, voici comment il l'a vécu. t.co/knp80px6nc",2022-11-04 07:23:00+00:00,584,70,16,490,8
Positive,0.621,1588261002335830016,0.14367034,0.23563147,0.62069815,"depuis l'espace, @thom_astro a pu contempler la beauté de la terre… mais aussi les conséquences néfastes des activités humaines. parmi toutes les photos qu'il a prises, voici celles qui l'ont marqué. 🌍 t.co/kknhw8elk0",2022-11-03 20:05:06+00:00,857,167,23,658,9
Neutral,0.539,1588255944877649920,0.20780309,0.5389422,0.2532547,"ce soir à 21h dans ""parents live !"", on parle de ce que signifie être un.e t.co/87sevik9p3 mère/père avec papatriarcat et eve simonet. venez échanger avec eux sur la nouvelle app de brut t.co/xctvpp7ovs t.co/ufdsedj35n",2022-11-03 19:45:00+00:00,6,0,0,6,0
Neutral,0.562,1588247557725380608,0.2601969,0.56223875,0.1775644,voici l’intégralité de la séquence du 3 novembre où le député lfi-nupes carlos martens bilongo s’exprimait à l’assemblée nationale. t.co/xllayog1jh,2022-11-03 19:11:40+00:00,323,104,18,186,15
Positive,0.594,1588219612755333120,0.044741277,0.3615775,0.5936812,"le prix goncourt 2022 a été décerné à ""vivre vite"" de brigitte giraud. et vous, quel est le dernier livre qui vous a marqué  📖",2022-11-03 17:20:38+00:00,39,2,12,23,2
Positive,0.449,1588212518258102272,0.3750513,0.17609078,0.44885784,"des crottes qui tombent du ciel, des armes, une candidate filmée en plein accouchement… top 10 des clips de campagne les plus wtf des élections de mi-mandat aux états-unis. t.co/z54e8hhcxk",2022-11-03 16:52:26+00:00,98,18,2,75,3
Neutral,0.422,1588137827207782400,0.22011606,0.42163083,0.35825312,le prix goncourt 2022 vient d’être attribué à @briggiraud pour son livre “vivre vite”. brut lui a demandé ce qu’elle trouvait dans la lecture qu’elle ne trouvait nulle part ailleurs. voici sa réponse... t.co/aimwujschy,2022-11-03 11:55:38+00:00,59,20,1,36,2
Negative,0.436,1588066949359099905,0.4359577,0.33409315,0.22994912,"que trouvez-vous dans la lecture que vous ne trouvez nulle part ailleurs  c'est ce que brut a demandé aux finalistes du goncourt 2022 brigitte giraud, cloé korman et makenzy orcel. voici la réponse qu'ils nous ont envoyée… t.co/noyovg3nbm",2022-11-03 07:14:00+00:00,53,14,0,39,0
Positive,0.441,1587890033746247680,0.27717733,0.28215125,0.44067147,"""on va démontrer que c'est possible de naviguer sur un ancien bateau aux côtés des plus gros."" en donnant une seconde vie au trimaran d'ellen macarthur, romain pilliard s'apprête à prendre le départ de la route du rhum. brut est monté à bord du voilier @useitagain_sail. t.co/cc6xfqadfl",2022-11-02 19:31:00+00:00,86,17,2,63,4
Neutral,0.632,1587862603006722049,0.12819739,0.6318172,0.23998533,"ce soir dans ""sex talk"", on parle des troubles de l’érection. rendez-vous à 19h sur la nouvelle app brut pour participer à la discussion avec wicul en live. pour télécharger l'app : t.co/y0wu4jf3jp t.co/urxzkt6vbu",2022-11-02 17:42:00+00:00,14,3,1,9,1
Negative,0.604,1587859691119337472,0.60396224,0.17543614,0.22060151,"maëlle a témoigné de ses difficultés à vivre avec une bourse étudiante en baisse dans une vidéo vue plus de 7 millions de fois sur tiktok. elle a reçu le soutien de nombreux étudiants. sur brut, elle interpelle emmanuel macron. t.co/oy930chtwh",2022-11-02 17:30:26+00:00,1154,290,52,754,58
Neutral,0.396,1587846321654108160,0.3726267,0.39609584,0.23127748,"ce novembre, c'est le ""mois sans tabac"".🛑 donnez votre meilleur conseil pour arrêter de fumer 👇",2022-11-02 16:37:18+00:00,378,23,173,142,40
Negative,0.877,1587837253136822282,0.87701005,0.07667609,0.046313785,"""si le réalisateur panique, tout le monde va se mettre à paniquer."" d'oss 117 à mascarade qui sort en salle ce mercredi, nicolas bedos raconte 3 galères de tournage. brut l'avait rencontré à l'occasion du festival de cannes. t.co/yjylelji2m",2022-11-02 16:01:16+00:00,12,0,2,10,0
Negative,0.407,1587772167004950528,0.40732622,0.3097787,0.2828951,"""seuls le temps et la glace sont maîtres."" dans cette zone du groenland, la cartographie n'est plus à jour... le recul d'immenses glaciers a fait apparaître les ""nunanutaat"", des nouvelles terres. l'explorateur nicolas dubreuil y était. il raconte. t.co/feezxjbnsc",2022-11-02 11:42:38+00:00,428,135,17,267,9
Negative,0.494,1587746869199114240,0.49428654,0.23713112,0.26858225,"imaginez que vous puissiez vous nourrir uniquement de ce que vous trouvez dans les parcs, sur le bord des routes… pendant 30 jours, c'est ce que rob greenfield a fait. @brutamerica est parti à la cueillette avec lui à new york. t.co/m0psml2jiv",2022-11-02 10:02:07+00:00,200,36,13,125,26
Negative,0.709,1587430255043616769,0.7088265,0.14906523,0.14210823,"""il ne faut pas avoir honte de ses limites."" son métier d'acteur, son rapport au corps... @pierreniney s'était confié à @atrapenard il y a quelques semaines, à l'occasion du festival de cannes. il est en ce moment à l'affiche de ""mascarade"", le dernier film de nicolas bedos. t.co/6a4ykhj66x",2022-11-01 13:04:00+00:00,69,9,1,59,0
Negative,0.917,1587395021891932161,0.91746134,0.04611515,0.03642333,"""on se sent bête de déprimer pour ça, alors que c'est bien plus fréquent qu'on ne le croit…"" 5 conseils pour lutter contre la déprime de novembre. t.co/jwugqqyj0c",2022-11-01 10:44:00+00:00,129,26,5,92,6
Neutral,0.406,1587376400469839878,0.29003882,0.40631253,0.3036487,"avec le travail, les loisirs et les sorties, un animal de compagnie peut se retrouver souvent seul à la maison. pour qu’il ne s’ennuie pas en votre absence, voici 6 conseils à écouter dans notre podcast sur @spotifyfrance : t.co/zgyjbhtojl",2022-11-01 09:30:00+00:00,29,3,0,26,0
Neutral,0.511,1587346955235037186,0.35296634,0.51077247,0.13626115,"eh non, ce n'est pas la fête des morts ! mais alors, c'est quoi la toussaint  🤔 t.co/d03gvybnqj",2022-11-01 07:33:00+00:00,375,80,15,265,15
Negative,0.604,1587172304278196225,0.6038036,0.20773308,0.18846337,"bonbons, masques, citrouilles… d'où viennent les traditions d'halloween  pour certaines, il faut remonter à l'antiquité… 🎃 t.co/imtm1iirq8",2022-10-31 19:59:00+00:00,35,8,1,25,1
Negative,0.906,1587159469930074112,0.90577173,0.06260879,0.031619333,"comment se construit un mouvement de foule comme celui qui a tué au moins 154 personnes en corée du sud, et comment s'en protéger  chercheur en sciences cognitives et auteur de “fouloscopie : ce que la foule dit de nous”, mehdi moussaïd répond. t.co/thp1nblhrk",2022-10-31 19:08:00+00:00,318,80,7,227,4
Negative,0.933,1587144350118694912,0.93342286,0.052026913,0.014550289,"""entre 15 et 20 garçons ont commencé à secouer le pont, et le pont s'est brisé…"" bilan : plus de 140 morts. pendant ce temps-là, en inde… t.co/lqfijrhe8d",2022-10-31 18:07:55+00:00,63,20,0,40,3
Negative,0.73,1587140665439404032,0.73005235,0.14604175,0.12390588,"ce soir c'est halloween. 🎃 si vous deviez vous déguiser en ce qui vous fait le plus peur, vous vous déguiseriez comment ",2022-10-31 17:53:16+00:00,375,6,195,61,113
Neutral,0.597,1587132162285113344,0.12608184,0.5967141,0.27720404,le féminicide sera bientôt reconnu par la loi en belgique. t.co/ysdkwaorpc,2022-10-31 17:19:29+00:00,121,37,1,80,3
Negative,0.898,1587120748837351424,0.89842486,0.056562375,0.045012724,"""on connaît tous quelqu'un qui adore les films d'horreur…"" mais pourquoi aime-t-on se faire peur  c'est dans notre cerveau que ça se passe… t.co/0vm0xljkxz",2022-10-31 16:34:08+00:00,85,25,5,55,0
Neutral,0.604,1587094673314656256,0.22602068,0.6039334,0.17004597,"ça vient d'où halloween  maintenant, vous savez. t.co/f0e6lvudgp",2022-10-31 14:50:31+00:00,106,31,3,70,2
Negative,0.935,1587074903206858753,0.9351364,0.046803918,0.018059578,"⚠️ images sensibles la corée du sud en deuil ce lundi. à séoul, au moins 154 personnes sont mortes dans un mouvement de foule alors qu'elles fêtaient halloween. voici ce qui s'est passé. t.co/izrwfsqtd6",2022-10-31 13:31:58+00:00,180,32,3,142,3
Positive,0.692,1587070771871903744,0.10205689,0.20562863,0.6923145,"""nous entrerons dans une nouvelle ère de paix, d'amour et d'espoir."" la réaction de lula, élu président du brésil après sa victoire face à jair bolsonaro. t.co/cvo7erakjd",2022-10-31 13:15:33+00:00,465,103,12,341,9
Negative,0.552,1587003253761384451,0.55161196,0.27548635,0.17290165,"lula est le nouveau président du brésil, après avoir devancé de peu jair bolsonaro. voici l’interview d’une vingtaine de minutes qu’il avait accordée à brut depuis la prison où il était incarcéré en 2019 : t.co/vinljrrali t.co/s4qcvquzym",2022-10-31 08:47:15+00:00,104,21,6,75,2
Negative,0.864,1586982805384445952,0.8644817,0.109441236,0.026077205,"l'utilisation abusive de nos smartphones peut-elle modifier notre morphologie  réponse avec hemrick verwaerde, kinésithérapeute et ostéopathe. t.co/yj6sgx1asv",2022-10-31 07:26:00+00:00,229,63,1,164,1
Positive,0.35,1586667729485963264,0.33740214,0.31277445,0.34982356,"en 2008, il a quitté naples pour faire le tour du monde avec sa pizza et atterrir à paris. aujourd'hui champion du monde des pizzaioli, giuseppe cutraro a pu ouvrir son 1er restaurant... son premier jour en france, voici comment il l'a vécu. t.co/bkm4eisbid",2022-10-30 10:34:00+00:00,758,96,14,642,6
Negative,0.488,1586388137671942144,0.4876803,0.24309678,0.2692229,"quand le hasard fait basculer une vie : lukas dhont et eden dambrine ne se connaissaient pas… jusqu’au jour où ils se croisent dans un train. deux ans après, ils remportent le grand prix du festival de cannes pour le film ""close"". ils racontent ce jour qui a tout changé. t.co/twxgaahv7m",2022-10-29 16:03:00+00:00,111,21,0,88,2
Positive,0.573,1586327740076138496,0.06587662,0.36126786,0.5728555,"emma, lucie et marie sont doctorantes en médecine et chercheuses. elles font partie des jeunes talents du programme l’oréal-unesco 2022pour les femmes et la science. être une femme scientifique en 2022 : elles en parlent dans brut talk. avec @fondationloreal t.co/p86pghy6pb",2022-10-29 12:03:00+00:00,153,30,0,116,7
Negative,0.929,1586242678727008256,0.92876196,0.04535131,0.025886742,"""j'ai ouvert un message, on me disait : 'je vais t'attendre avec ma voiture, tu vas finir violée au fond d'un trou.'"" harcelée depuis des années sur les réseaux sociaux comme dans la vraie vie, sindy témoigne et adresse un message aux autres victimes de harcèlement. t.co/oym8z1miq6",2022-10-29 06:25:00+00:00,391,113,16,257,5
Negative,0.524,1586063498131275776,0.52378565,0.18910128,0.28711304,"se coller les mains à des voitures de luxe, asperger des oeuvres d'art... ces actions coup de poing menées par des activistes écologistes se sont multipliées ces derniers mois partout dans le monde. retour en images. t.co/jnm41f5blh",2022-10-28 18:33:00+00:00,103,15,18,65,5
Neutral,0.387,1586041273399533568,0.25108334,0.3867272,0.3621894,"une assistante maternelle gagne “3 smic en moyenne”… voici toute la séquence du débat à l’assemblée où le ministre des solidarités jean-christophe combe l’affirme, avant de se reprendre. t.co/uqki6mszrc",2022-10-28 17:04:41+00:00,2885,679,288,1550,368
Positive,0.884,1586022729496416256,0.019658454,0.096005365,0.8843362,"après 6 ans d’absence, elle vient de sortir le titre “lift me up”. voici la vie de @rihanna, star planétaire et femme engagée. t.co/wrwsivpdtk",2022-10-28 15:51:00+00:00,545,111,11,418,5
Neutral,0.492,1586019283020414976,0.14157087,0.4917274,0.3667017,"dans la nuit de samedi à dimanche, on passe à l'heure d'hiver. pensez-vous que le changement d'heure a encore du sens aujourd'hui  🌅 ⏰",2022-10-28 15:37:18+00:00,110,5,31,66,8
Neutral,0.524,1585994338735120385,0.12893462,0.5243659,0.34669945,l’allemagne vers une légalisation du cannabis. t.co/mxumjwzhgj,2022-10-28 13:58:11+00:00,244,45,14,172,13
Positive,0.665,1585916768492687360,0.15268768,0.18185516,0.665457,"rihanna vient de sortir ""lift me up"" un titre qui lui rend hommage, 2 ans après sa mort. voici l'histoire de l'acteur chadwick boseman. t.co/voyzlc7ygc",2022-10-28 08:49:57+00:00,1299,276,26,938,59
Negative,0.626,1585882052754378752,0.62600636,0.25764495,0.11634867,"""du jour au lendemain, ça peut arriver à n'importe qui."" après une séparation, laurent s'est retrouvé sans domicile, et depuis 3 ans, il vit dans sa voiture. son premier jour à la rue, voici comment il l'a vécu… t.co/ymvpsog0tj",2022-10-28 06:32:00+00:00,277,84,7,181,5
Negative,0.787,1585714113879080960,0.78749245,0.11797057,0.094537064,"""sans les primes de nuit, t'as 1200 euros, c'est même pas un smic…"" pendant ce temps-là, loin des caméras, ces employés d'un entrepôt geodis à gennevilliers sont en grève depuis 10 jours, ""pour ne pas crever"". t.co/pj5nyr2brn",2022-10-27 19:24:40+00:00,3903,1596,45,2139,123
Negative,0.854,1585703603482001409,0.853992,0.08845553,0.057552442,"accusée après la diffusion d'une vidéo d'être à l'origine d'un charnier au mali, l'armée française riposte et accuse dans complément d'enquête la milice privée russe wagner d'avoir orchestré une mise en scène, preuves à l'appui. t.co/ydwgkdz48p",2022-10-27 18:42:54+00:00,526,161,19,336,10
Neutral,0.445,1585701613653532672,0.3868695,0.44541144,0.16771914,"ce soir à 21h dans ""parents live !"", on parle de des difficultés de la parentalité avec papatriarcat et eve simonet. venez échanger avec eux sur la nouvelle app de brut : t.co/dz3stqwig5 t.co/i2earfvmbn",2022-10-27 18:35:00+00:00,11,1,1,9,0
Positive,0.679,1585679849464668166,0.06470829,0.25643066,0.6788611,la ministre de la culture rima abdul-malak veut encourager les français à retourner au cinéma. c'est quand la dernière fois que vous y êtes allé  🍿,2022-10-27 17:08:31+00:00,314,11,185,100,18
Negative,0.899,1585643539165114369,0.8988888,0.079856254,0.021254852,"après la syrie, le retour du choléra inquiète au liban. selon l’onu, au 25 octobre, ""les cas confirmés de choléra ont atteint 448 en seulement deux semaines, avec 10 décès associés"". t.co/1fc9jwfna8",2022-10-27 14:44:14+00:00,58,16,0,41,1
Neutral,0.78,1585625865135628288,0.08128082,0.77974254,0.13897672,voici tout ce qui va changer en france à partir du 1er novembre. t.co/m8q8gkxal3,2022-10-27 13:34:00+00:00,92,20,3,67,2
Negative,0.874,1585605560891805696,0.8740907,0.09402064,0.031888694,"coupe du monde au qatar, écologie, affaire pogba, joueurs blessés... interview exclusive de didier deschamps sur brut, pour sa dernière prise de parole avant l'annonce de sa liste. il répond aux questions de @remybuisine. t.co/ciyakqckic",2022-10-27 12:13:19+00:00,22,3,1,18,0
Neutral,0.485,1585565338128744454,0.41575158,0.48511782,0.09913069,existe-t-il un lien entre les banques et le réchauffement climatique  cela ne semble pas évident a priori. et pourtant... t.co/bwyjn22e5w,2022-10-27 09:33:29+00:00,42,10,1,31,0
Negative,0.522,1585351161116229642,0.5222416,0.22820143,0.24955703,"quelles sont les conditions pour être de nouveau sélectionnable après une blessure  didier deschamps répond et évoque le cas de raphaël varane. l'interview exclusive est à retrouver jeudi, en intégralité sur brut. t.co/w6rv4lnmbr",2022-10-26 19:22:25+00:00,37,4,2,31,0
Negative,0.921,1585349793785708545,0.9210359,0.054084547,0.024879508,"face à @remybuisine, didier deschamps évoque paul pogba, sa blessure et l'affaire dont il a été victime. l'interview exclusive est à retrouver jeudi, en intégralité sur brut. t.co/sfskkoqd2p",2022-10-26 19:16:59+00:00,54,8,2,43,1
Negative,0.817,1585341298562695176,0.8168826,0.108086854,0.07503062,"comment gérer autant de blessés chez les bleus  didier deschamps nous raconte comment il prépare sa liste pour la coupe du monde. l'interview exclusive à retrouver jeudi, en intégralité sur brut. t.co/qi2fq5pet8",2022-10-26 18:43:14+00:00,38,5,2,31,0
Negative,0.599,1585337386015260676,0.5993212,0.2270751,0.17360386,"""je m'interdis de leur interdire quoi que ce soit"" didier deschamps précise les limites de l'utilisation des réseaux sociaux par ses joueurs pendant la coupe du monde. l'interview exclusive est à retrouver jeudi, en intégralité sur brut. t.co/ora6j5r2kg",2022-10-26 18:27:41+00:00,38,6,2,30,0
Negative,0.489,1585330786462580761,0.4885173,0.25202325,0.25945938,"""on n'a pas la capacité à régler les problèmes du quotidien de monsieur et madame tout-le-monde"" didier deschamps à propos du rôle d'exemple endossé par les footballeurs. l'interview exclusive à retrouver jeudi, en intégralité sur brut. t.co/zqvhwpiogn",2022-10-26 18:01:28+00:00,35,6,2,27,0
Positive,0.429,1585324464027451409,0.24931744,0.3214893,0.42919335,"comment le monde du football peut être plus écologique  @remybuisine a posé la question à didier deschamps. l'interview exclusive est à retrouver jeudi, en intégralité sur brut. t.co/drdq28hz9t",2022-10-26 17:36:20+00:00,75,11,17,41,6
Positive,0.816,1585323075276787713,0.056151032,0.12766425,0.81618476,"c'est au milieu de la forêt de brocéliande que vit alexis robert, 81 ans. là, il a fondé un écolieu qui accueille chaque année des milliers de visiteurs. depuis sa kerterre, une maison écologique, il raconte comment cet environnement le rend heureux, entre simplicité et partage. t.co/lgdfyr1qhs",2022-10-26 17:30:49+00:00,1345,266,38,1007,34
Neutral,0.426,1585317544906342401,0.4017244,0.42594597,0.1723297,"didier deschamps, en interview exclusive sur brut, s'exprime sur la polémique autour de la coupe du monde au qatar. retrouvez l'interview en intégralité jeudi sur brut. t.co/gpwbjofnt4",2022-10-26 17:08:51+00:00,137,16,27,76,18
Neutral,0.561,1585307516832882688,0.042030804,0.56110996,0.3968593,"ce soir dans ""sex talk"", on parle d’hypersexualité et d’addiction au sexe. rendez-vous à 19h sur la nouvelle app brut pour participer à la discussion avec wicul en live. pour télécharger l'app : t.co/lkdd6xie9i t.co/wnlt748uqe",2022-10-26 16:29:00+00:00,12,0,0,11,1
Neutral,0.597,1585301252493414400,0.057946913,0.5969381,0.3451151,"ce soir, emmanuel macron s'exprime sur france 2 dans l'émission ""l'événement"". quels sujets aimeriez-vous qu'il aborde  🎙",2022-10-26 16:04:06+00:00,148,3,118,19,8
Neutral,0.68,1585288860510068739,0.09790836,0.6802787,0.22181289,retrouvez dès 19h les premiers extraits de notre interview exclusive avec didier deschamps. ce sera sa dernière prise de parole avant l'annonce de la liste pour le qatar et c’est sur brut. t.co/dtk5xizcch,2022-10-26 15:14:52+00:00,27,4,2,19,2
Neutral,0.414,1585247622486376448,0.3276427,0.41426098,0.25809643,histoire de famille ou différend commercial... il intervient quand le dialogue est rompu. pierre est avocat médiateur. son but : résoudre les conflits qui séparent ses clients. il raconte. avec @cnbarreaux t.co/bwdlq1xnft,2022-10-26 12:31:00+00:00,30,7,2,21,0
Negative,0.432,1585241498635112449,0.4315878,0.37960538,0.18880688,"""il faut laisser la polémique de côté, et laisser la place au jeu"" : c'est l'avis de zinédine zidane à propos de la coupe du monde au qatar. 👇 et vous, vous en pensez quoi ",2022-10-26 12:06:40+00:00,178,6,117,47,8
Negative,0.599,1585157276804927488,0.5987269,0.24433191,0.15694115,"""ce sont des photos qui sont appréciées des prédateurs sexuels…"" exposer ses enfants sur les réseaux, c'est ce que font de nombreux influenceurs. mais au fait, quels sont les risques  t.co/ewp6qszqlq",2022-10-26 06:32:00+00:00,5132,2038,60,2744,290
Positive,0.864,1584982877577486337,0.056652937,0.079003975,0.86434317,"""ça me permet d'être propre, d'être nickel comme tout le monde, malgré ma situation."" pour venir en aide aux sans-abri comme karim, ces habitants d'un quartier parisien ont créé onze mille potes, un service gratuit de casiers et de laverie. et ça a changé son quotidien. t.co/0tf0wsscny",2022-10-25 18:59:00+00:00,1724,449,27,1222,26
Negative,0.812,1584973422714507264,0.8116717,0.1138161,0.07451232,"sur twitter, la streameuse maghla dénonce le harcèlement sexuel qu’elle subit au quotidien. t.co/y3f75a283l",2022-10-25 18:21:26+00:00,2690,523,48,2081,38
Negative,0.955,1584972087487533058,0.95460695,0.032285873,0.013107123,"""ça conduit à la mort d'enfants, à l'empoisonnement des aliments et de nos corps par les insecticides..."" autochtone, samela parle des dangers de la déforestation en amazonie avec l'activiste @camilleetienne_. t.co/trs9ptzjmp",2022-10-25 18:16:07+00:00,257,81,3,171,2
Positive,0.791,1584963032014557184,0.058344223,0.1502429,0.79141283,"""toutes les femmes de mes tableaux sont fortes, confiantes, émancipatrices"" petit tour dans l'atelier de l'artiste cristina banban où elle nous montre un aperçu de sa nouvelle série de tableaux. elle exposera ses oeuvres à #artbaselmiami @artbasel. t.co/yysc1lfjnz",2022-10-25 17:40:08+00:00,48,8,0,39,1
Negative,0.392,1584952193966145536,0.39174467,0.32661057,0.2816447,"""j'avais 22 ans. ma vie n'aurait pas été la même si ce matin-là…"" aujourd'hui délégué général du @festival_cannes et directeur de l'@institutlumiere de lyon, thierry frémaux raconte cette rencontre avec bertrand tavernier qui a changé sa vie. t.co/intgfkremr",2022-10-25 16:57:04+00:00,37,10,1,26,0
Positive,0.412,1584942730555559936,0.2544132,0.3334318,0.4121551,priver les ukrainiens d’électricité : voici la nouvelle stratégie de la russie pour gagner la guerre. t.co/mynezazqxz,2022-10-25 16:19:28+00:00,46,10,4,32,0
Negative,0.951,1584864077264084992,0.95092815,0.030837996,0.018233996,les téléviseurs 8k risquent d'être interdits par l'union européenne en 2023 car ils consomment trop d'électricité. à quoi êtes-vous prêt à renoncer pour gagner en sobriété énergétique  🔌,2022-10-25 11:06:56+00:00,482,37,97,304,44
Negative,0.455,1584623324407431168,0.45529738,0.31241518,0.23228739,"""quand je vois les personnes âgées et leur manière de regarder la vie, je me dis : 'qu'est-ce qu'ils savent que je ne sais pas '"" monica bellucci sur le temps qui passe en tant qu'actrice, en tant qu'icône, en tant que femme. t.co/uwx8zdculu",2022-10-24 19:10:16+00:00,205,26,6,163,10
Negative,0.484,1584600860620775424,0.48360562,0.31875065,0.19764377,"pendant ce temps-là, des centaines d'étudiants se rendent toujours à des distributions alimentaires. ici, à l'université rennes 2, ils sont entre 400 et 500 à venir toutes les 2 semaines récupérer des pâtes, des légumes ou des protections hygiéniques. voici comme ils le vivent. t.co/ulyk2ygjta",2022-10-24 17:41:00+00:00,1993,752,94,1049,98
Positive,0.497,1584573126075379714,0.15756673,0.34543714,0.49699613,"à 42 ans, le multimillionnaire rishi sunak a été désigné par les conservateurs pour devenir le nouveau premier ministre du royaume-uni, le premier d'origine indienne et le plus jeune depuis plus de 200 ans. voici son histoire. t.co/hthgb9noqs",2022-10-24 15:50:47+00:00,1242,303,57,804,78
Negative,0.926,1584526113136463873,0.92559665,0.05820975,0.016193582,"des mini-tornades ont frappé plusieurs villes en france, voici ce qu’il s’est passé. t.co/ewzpyt5cvj",2022-10-24 12:43:59+00:00,106,19,8,76,3
Negative,0.634,1584429984260665352,0.6340873,0.27537417,0.09053858,peut-on disparaître de google  notre journaliste mina soundiram a essayé… t.co/xatosrrejf,2022-10-24 06:22:00+00:00,221,48,5,167,1
Negative,0.673,1584228658100805632,0.67347926,0.21867335,0.10784744,"""les films porno, parfois, c'est un peu le cirque pinder du cul…"" 5 choses à savoir pour se rappeler que le porno, ce n'est pas la vraie vie. t.co/h5twclodw1",2022-10-23 17:02:00+00:00,314,68,12,223,11
Neutral,0.42,1584205757020397568,0.31240454,0.41991815,0.26767734,"en mars 2021, l'œuvre ""every day"" de beeple s'est vendue 69 millions de dollars. et c'est un nft. alors on s'est demandé ce que les nft changent dans le monde de l'art. t.co/t3tlrviedj",2022-10-23 15:31:00+00:00,32,6,3,22,1
Negative,0.398,1584183108206739456,0.39791256,0.36022177,0.24186558,"""mettre en échec le plus de types de cancers possible, c'est l'objectif ultime."" recherche sur le cancer : 4 choses à savoir avec ludovic deriano, co-responsable de l'initiative cancer à l'institut pasteur. avec @institutpasteur t.co/gsjmfatlup",2022-10-23 14:01:00+00:00,134,30,4,100,0
