Sentiment,Score,Id_Tweet,Negative,Neutral,Positive,Text_Tweet,Date_Tweet,Nb_interaction,retweet_count,reply_count,like_count,quote_count
Negative,0.961,1556991736811032577,0.9612287,0.028081052,0.010690185,"le 9 août 1982, rue des rosiers à paris, le restaurant jo goldenberg est la cible d'un attentat antisémite. 6 personnes y laissent la vie. 22 sont blessées. 40 ans après, nous n’oublions pas.",2022-08-09 13:12:12+00:00,8936,1130,1087,6573,146
Negative,0.91,1555214262158741504,0.90965426,0.06376637,0.026579374,يعيش لبنان اليوم يوم حداد وطني بعد مضي عامين على انفجار مرفأ بيروت. وأنا أتذكر ببالغ الأسى حالة الذهول التي أصابتني في آب/أغسطس 2020 عندما علمت بوقوع هذه الفاجعة.,2022-08-04 15:29:09+00:00,3627,272,1212,1975,168
Negative,0.819,1555191466103918593,0.8192072,0.06820163,0.11259118,"deux ans après l'explosion au port de beyrouth, aujourd'hui est un jour de deuil national au liban. c'est avec beaucoup d'émotion que je me remémore la stupeur qui m'a saisi en août 2020 en apprenant ce drame.",2022-08-04 13:58:34+00:00,5783,586,822,4244,131
Negative,0.468,1552334511568027649,0.4679815,0.32828978,0.20372881,"la russie a commencé un nouveau type de guerre mondiale hybride. elle a décidé que l'information, l'énergie et l'alimentation étaient des instruments militaires mis au service d'une guerre impérialiste continentale contre l'ukraine. t.co/cuy0ovp71q",2022-07-27 16:46:03+00:00,16728,2319,4480,9005,924
Negative,0.427,1552169046426386432,0.4269786,0.3646763,0.20834495,"le nouveau sommet afrique-france ne s'est pas achevé en octobre dernier, le sommet de montpellier n’était qu’un point de départ : en afrique comme en france, les acteurs du changement sont à l'œuvre ! t.co/dt1m2ilcsz",2022-07-27 05:48:33+00:00,2703,443,425,1772,63
Negative,0.697,1551983703626321922,0.69721526,0.16694793,0.13583685,"la guerre en ukraine a révélé la préexistence d'une dépendance alimentaire pour de nombreux pays, notamment sur le continent africain. pour en sortir, nous devons passer d'une réponse d'urgence à une réponse structurelle. c'est l'objectif de l'initiative farm : t.co/apj9kcjm6s",2022-07-26 17:32:04+00:00,4615,701,746,3046,122
Negative,0.534,1548727250346037248,0.53388035,0.18826672,0.27785286,"agissant au nom de la france, trahissant l’esprit et l’espoir de la république, l’état français de pétain et laval, de bousquet et darquier de pellepoix, l’état français manqua, de manière délibérée, à tous les devoirs de la patrie des lumières et des droits de l’homme. t.co/56kpasfcsr",2022-07-17 17:52:05+00:00,4653,755,594,3240,64
Negative,0.566,1548718034285649920,0.5663959,0.21896423,0.21463995,"une gare comme celle-ci, entre une mairie et un clocher, la france en compte des milliers. mais il y a 80 ans, les 14 convois de la mort qui sont partis d’ici en ont modifié le visage à jamais. t.co/31gof9jcbk",2022-07-17 17:15:27+00:00,4984,677,513,3737,57
Negative,0.911,1545390387799494658,0.9109134,0.05011457,0.03897195,安倍晋三元総理の訃報に接し、フランス国民の名において、日本政府並びに日本国民に哀悼の意を表します。国に生涯を捧げ、世界の均衡に努めた偉大な首相を日本は失いました。,2022-07-08 12:52:35+00:00,38836,5708,890,31987,251
Negative,0.563,1545354472834097154,0.56319785,0.11792459,0.31887752,"au nom du peuple français, j’adresse mes condoléances aux autorités et au peuple japonais après l’assassinat de shinzo abe. le japon perd un grand premier ministre, qui dédia sa vie à son pays et œuvra à l’équilibre du monde.",2022-07-08 10:29:52+00:00,23034,3208,878,18744,204
Negative,0.91,1545310303621193728,0.90955853,0.037890825,0.052550603,profondément choqué par l’attaque odieuse dont shinzo abe a été victime. pensées à la famille et aux proches d’un grand premier ministre. la france se tient aux côtés du peuple japonais.,2022-07-08 07:34:21+00:00,17804,2463,662,14507,172
Negative,0.872,1542514884323160070,0.8716791,0.115770966,0.012549977,"the european continent is no longer at peace. not since 24 february 2022, when russia decided on war. in madrid, meeting as allies, we took note.",2022-06-30 14:26:21+00:00,2486,312,211,1933,30
Negative,0.551,1542493506509348864,0.55102223,0.20743324,0.24154459,"si le continent européen n’est plus en paix, l’alliance atlantique, pour autant, n’est pas en guerre. la russie porte seule la responsabilité de cette guerre, et des conséquences graves qu’elle impose au monde entier, pour la sécurité énergétique et alimentaire notamment. t.co/hvt1klbqpu",2022-06-30 13:01:24+00:00,2570,369,503,1633,65
Negative,0.867,1542487275409375232,0.8672156,0.0746773,0.058107097,"la russie ne doit pas l’emporter parce que c’est notre propre sécurité qui s’en trouverait alors directement menacée. le coût de la guerre, les ukrainiens le connaissent, le vivent dans leur chair. soutenir l’ukraine est une nécessité pour nous-mêmes. t.co/ftn1jsz9h4",2022-06-30 12:36:39+00:00,4414,664,807,2833,110
Negative,0.641,1542470712753102849,0.6411751,0.18732543,0.17149936,"le continent européen n’est plus en paix. il ne l’est plus depuis le 24 février 2022 et le choix de la guerre fait par la russie. à madrid, réunis entre alliés, nous en avons pris acte.",2022-06-30 11:30:50+00:00,9280,941,1853,6210,276
Negative,0.609,1542200081541120001,0.609107,0.15789627,0.23299676,unité et force. voilà notre esprit au sommet de l’otan alors que l’agression de l'ukraine par la russie bouleverse l’ordre sécuritaire européen. t.co/dm4vj3rbck,2022-06-29 17:35:26+00:00,3067,467,370,2174,56
Negative,0.909,1541799520379588608,0.909094,0.060821332,0.030084662,"les conséquences déstabilisatrices de la guerre en ukraine sur le climat, l'énergie et la sécurité alimentaire ont été au cœur de nos discussions au g7.",2022-06-28 15:03:45+00:00,4642,533,913,3103,93
Negative,0.82,1541781664204029954,0.81986874,0.11153212,0.06859917,"la crise de pouvoir d'achat que nous vivons n'a pas le cœur de sa réponse au niveau national, mais au niveau international. le sommet du g7, qui peut sembler lointain pour nos compatriotes, touche à des sujets essentiels et quotidiens : le plein de courses et le plein d'essence. t.co/sdcshzp40y",2022-06-28 13:52:48+00:00,2886,479,492,1850,65
Negative,0.872,1541776846760673280,0.87249565,0.071157254,0.056347165,"face au conflit en ukraine, les pays du g7 vont continuer à agir avec détermination. la russie ne peut pas et ne doit pas gagner.",2022-06-28 13:33:39+00:00,11056,1009,2507,7207,333
Negative,0.927,1541535296168280064,0.9269243,0.05786612,0.015209459,обстрел россией торгового центра в кременчуге – это полный ужас. мы разделяем боль семей жертв. и гнев перед лицом такой подлости. российский народ должен увидеть правду: t.co/7drortbgse,2022-06-27 21:33:49+00:00,9719,1160,1679,6618,262
Negative,0.961,1541535117176348673,0.9614008,0.027496729,0.011102456,"russia’s bombing of a shopping centre in kremenchuk is an abomination. we share the pain of the victims’ families, and the anger in the face of such an atrocity. the russian people have to see the truth: t.co/7drortbgse",2022-06-27 21:33:06+00:00,21983,3239,2104,16253,387
Negative,0.924,1541534385446551557,0.9241829,0.056226,0.01959117,обстріл росією торгового центру у кременчуці – це повний жах. ми поділяємо біль сімей жертв. і гнів перед лицем такої підлості.,2022-06-27 21:30:12+00:00,15880,1600,1069,13032,179
Negative,0.972,1541531718053666817,0.9716242,0.015889542,0.012486292,le bombardement d’un centre commercial à krementchouk par la russie est une horreur absolue. nous partageons la douleur des familles des victimes. et la colère devant une telle ignominie. le peuple russe doit voir la vérité : t.co/7drortbgse,2022-06-27 21:19:36+00:00,15764,2270,2416,10724,354
Negative,0.414,1541442914588528647,0.41394198,0.21248361,0.37357435,la guerre menée par la russie à l’ukraine perturbe les marchés de l’énergie. nous devons renforcer notre coordination et nos investissements pour assurer la sécurité énergétique de tous. sans nous détourner de notre objectif : atteindre ensemble la neutralité carbone d’ici 2050. t.co/sdn4pjqfvu,2022-06-27 15:26:44+00:00,5532,599,1425,3333,175
Negative,0.961,1540685655642034176,0.9608055,0.028400002,0.010794461,"oslo ble i natt rammet av en grusom handling utført av en islamistisk terrorist. min medfølelse går til ofrene og til deres pårørende, til de skadede og til det norske folk. vi står sterkere mot hatet hvis vi står sammen.",2022-06-25 13:17:39+00:00,4648,429,365,3773,81
Negative,0.938,1540666972446375938,0.93807036,0.028107665,0.03382193,"oslo a été frappée cette nuit par la barbarie d’un terroriste islamiste. mes pensées émues vont aux victimes et à leurs familles, aux blessés, au peuple norvégien. face à la haine, nous serons toujours plus forts unis.",2022-06-25 12:03:25+00:00,15800,1699,1498,12319,284
Negative,0.416,1540393817609740288,0.41603285,0.34178767,0.24217948,abortion is a fundamental right for all women. it must be protected. i wish to express my solidarity with the women whose liberties are being undermined by the supreme court of the united states.,2022-06-24 17:57:59+00:00,382638,41772,16372,318170,6324
Negative,0.564,1537882114233733120,0.5635431,0.10672112,0.32973576,"avec sa beauté sage et son jeu sobre, sa voix grave et ses pudeurs, jean-louis trintignant donnait à tous ses rôles la profondeur d’une énigme. cet immense acteur qui durant des décennies au théâtre et au cinéma portait avec lui sa nostalgie nous laisse ce soir tristes et seuls. t.co/8eisrnn92w",2022-06-17 19:37:23+00:00,6615,867,652,5000,96
Negative,0.495,1537520113787838465,0.49504036,0.35997245,0.14498715,"ще не вмерла україни. ви можете розрахувати на братство європи, аби україна залишалася вільною.",2022-06-16 19:38:55+00:00,24243,2339,1523,19744,637
Negative,0.417,1537517441567293450,0.41701707,0.18597372,0.39700916,ще не вмерла україни. ni la gloire ni la liberté de l’ukraine ne sont mortes. ces mots sont les premiers de l’hymne national des ukrainiens. je leur dis aujourd'hui depuis kiev : vous pouvez compter sur la fraternité de l’europe pour que l’ukraine reste libre.,2022-06-16 19:28:18+00:00,3959,429,290,3190,50
Negative,0.614,1537496471645347841,0.6135458,0.27080783,0.115646325,"глобальна продовольча криза, яку ми переживаємо, є прямим наслідком війни, що веде росія. ми закликаємо росію погодитися на те, щоб організація об’єднаних націй організувала експорт зерна, знявши блокаду українських портів.",2022-06-16 18:04:58+00:00,5344,524,693,4028,99
Negative,0.843,1537494399113887745,0.84342694,0.08733388,0.06923915,la crise alimentaire mondiale que nous traversons est une conséquence directe de la guerre menée par la russie. nous appelons la russie à accepter que les nations unies organisent l’exportation des céréales en levant le blocus des ports ukrainiens.,2022-06-16 17:56:44+00:00,7603,936,2006,4440,221
Negative,0.792,1537475315534028801,0.79225874,0.11132942,0.0964119,"le monde entier a été témoin des crimes de guerre commis sur le sol ukrainien. pour que les auteurs de ces crimes soient tenus pour responsables et punis conformément au droit international, nous restons mobilisés. pour collecter les preuves, nos experts sont en première ligne. t.co/ceodcrzcjf",2022-06-16 16:40:54+00:00,6853,1026,1045,4630,152
Negative,0.53,1537403163942129664,0.5300421,0.26653537,0.2034225,"ірпінь в україні. ми бачили спустошене місто і сліди варварства. а також героїзм українок та українців, які зупинили російську армію, коли вона йшла на київ. україна чинить опір. вона має бути здатною перемогти. t.co/tabiwxikkg",2022-06-16 11:54:12+00:00,10996,1538,747,8554,157
Negative,0.874,1537399541254979584,0.8742861,0.070805974,0.054907866,"irpin en ukraine. nous avons vu la ville dévastée et les stigmates de la barbarie. et l’héroïsme, aussi, des ukrainiennes et des ukrainiens qui ont arrêté l'armée russe alors qu’elle descendait sur kiev. l’ukraine résiste. elle doit pouvoir l'emporter. t.co/yzwbgbj5dx",2022-06-16 11:39:48+00:00,10888,1841,1283,7528,236
Negative,0.759,1537086940188639232,0.7591524,0.09324475,0.14760272,"alors que les combats en ukraine se poursuivent, toujours plus violents, nous ne pouvons nous permettre aucune faiblesse ! notre détermination reste totale. voici ce que nous faisons :",2022-06-15 14:57:38+00:00,6918,870,1441,4455,152
Negative,0.886,1531280177992454146,0.88584477,0.07240003,0.041755233,"journaliste, frédéric leclerc-imhoff était en ukraine pour montrer la réalité de la guerre. à bord d’un bus humanitaire, aux côtés de civils contraints de fuir pour échapper aux bombes russes, il a été mortellement touché.",2022-05-30 14:23:38+00:00,16653,2839,1601,11748,465
Negative,0.937,1529389299904528385,0.93701667,0.052611195,0.010372138,"19 victims were under age 10. children and teachers were murdered in a cowardly attack in their texas school. we share the shock and grief of the american people, and the rage of those who are fighting to end the violence.",2022-05-25 09:09:58+00:00,7351,861,881,5531,78
Negative,0.962,1529385832070668288,0.9619036,0.024165854,0.013930629,"19 victimes n’avaient pas plus de 10 ans. dans leur école au texas, des enfants et enseignants ont été lâchement assassinés. le choc et la peine du peuple américain, la colère de ceux qui luttent pour mettre fin aux violences, nous les partageons.",2022-05-25 08:56:11+00:00,18553,1888,1631,14825,209
Negative,0.762,1526639440382382080,0.7619205,0.11337075,0.1247087,"l'homophobie, la transphobie, la biphobie frappent, discriminent, rejettent. aux côtés de celles et ceux qui en sont victimes, de celles et ceux qui se battent pour les droits humains et l’égalité, nous continuerons le combat. chacun est libre d’être soi, d’être aimé et d’aimer.",2022-05-17 19:03:00+00:00,31776,2982,5932,21012,1850
Negative,0.471,1525134089677852672,0.47121194,0.21676883,0.3120192,أفجع خبر وفاة الشيخ خليفة بن زايد آل نهيان إمارة أبو ظبي والإمارات العربية المتحدة. وأعرب عن تعاطفي مع شقيقه ولي العهد صاحب السمو الشيخ محمد بن زايد آل نهيان وأسرته والشعب الإمارات.,2022-05-13 15:21:17+00:00,8472,1056,1171,5920,325
Negative,0.936,1525132987444121602,0.9356536,0.038247954,0.026098613,"la disparition du cheikh khalifa ben zayed al nahyane endeuille abou dabi et les émirats arabes unis. mes pensées vont à son frère le prince héritier @mohamedbinzayed, à toute sa famille et au peuple émirien.",2022-05-13 15:16:54+00:00,3564,453,543,2505,63
Negative,0.615,1524035844386004992,0.61549145,0.24566042,0.13884816,"with president xi jinping, i discussed the tragic situation faced by the ukrainian people because of the russian aggression. we share the goals of a ceasefire and of respect for ukraine’s territorial integrity and sovereignty. t.co/rofdbyvb3f",2022-05-10 14:37:15+00:00,3897,478,518,2805,96
Negative,0.39,1523732773265149952,0.38986352,0.26286793,0.34726855,"nach meiner amtseinführung am samstag wollte ich bei meiner ersten auslandsreise die herausragende bedeutung der deutsch-französischen freundschaft betonen. dies um so mehr, als wir uns heute am 9. mai, dem europatag, treffen. hocherfreut über diese zusammenkunft, lieber olaf. t.co/y3flfndpl6",2022-05-09 18:32:57+00:00,6006,556,522,4833,95
Negative,0.891,1523369107009466368,0.89129853,0.055632535,0.053068914,"le 8 mai 1945, l’europe était libérée du fascisme et de souffrances humaines indescriptibles. 77 ans plus tard, la paix sur notre continent est mise en péril par la russie qui a fait le choix d’agresser et d’envahir un pays souverain, l’ukraine.",2022-05-08 18:27:52+00:00,11493,1511,1440,8368,174
Negative,0.948,1522484691709968384,0.94762576,0.030389706,0.021984344,"alors qu’ils célébraient l’anniversaire de l’indépendance de leur état, les israéliennes et les israéliens ont été frappés, une nouvelle fois, par une attaque terroriste ignoble hier à el’ad. nos pensées vont aux victimes et à leurs familles.",2022-05-06 07:53:31+00:00,12291,1182,1240,9437,432
Negative,0.967,1522231573772488711,0.96728444,0.019147752,0.0135678835,70 jours de guerre. les conséquences humanitaires et les destructions suscitées par l’agression de l’ukraine par la russie sont insupportables. la détermination et la dignité des ukrainiennes et des ukrainiens forcent l’admiration de tous.,2022-05-05 15:07:43+00:00,8508,1132,983,6298,95
Negative,0.947,1522170156608282625,0.94707966,0.033000432,0.019919947,"il y a 30 ans, alors que se jouait la demi-finale de la coupe de france à furiani, une tribune s’effondra. la corse, marseille, et avec elles la france tout entière étaient en deuil. pensées pour les victimes, les familles et tous les blessés.",2022-05-05 11:03:40+00:00,7230,718,447,5999,66
Negative,0.868,1521549017959829505,0.8684256,0.0886949,0.042879432,"sept. c'est le nombre de journalistes tués en ukraine depuis le début de la guerre. tués parce qu'ils exerçaient leur profession, comme dix-huit de leurs confrères dans le monde en 2022. nous ne les oublions pas.",2022-05-03 17:55:29+00:00,14482,1633,1284,11398,167
Negative,0.708,1517221729319403520,0.7084465,0.116995305,0.17455809,"à marioupol, la situation ne fait qu’empirer. des dizaines de milliers de civils sont piégés. j’appelle une nouvelle fois la russie à respecter le droit international humanitaire, à permettre aux habitants de quitter la ville, à laisser entrer l’aide humanitaire.",2022-04-21 19:20:23+00:00,25913,2961,4690,17910,352
Negative,0.895,1516780567760670727,0.8950877,0.05785426,0.047058005,"sur l’avenue des champs-élysées il y a cinq ans, le capitaine de police xavier jugelé a fait face à un terroriste. la nation allait perdre l’un de ses héros engagés pour nous protéger. nous n’oublions pas.",2022-04-20 14:07:22+00:00,15769,1455,1846,12368,100
Negative,0.509,1514742076096847873,0.5087306,0.26075387,0.23051545,"april 14 marks the 50th day of horrors in ukraine. 50 days of war in the very heart of our europe. on my call with president zelensky just now, i once again expressed our determination to stand by his side to put an end to the conflict as well as our solidarity.",2022-04-14 23:07:08+00:00,8016,1060,1097,5777,82
Negative,0.691,1514697353269321735,0.6908086,0.115785696,0.19340561,"ce 14 avril marque la 50ème journée d'horreurs en ukraine. 50 jours de guerre au cœur même de notre europe. au président zelensky que je viens d'avoir par téléphone, j’ai dit à nouveau notre détermination à ses côtés pour mettre fin au conflit et notre solidarité.",2022-04-14 20:09:25+00:00,12010,1480,1949,8418,163
Negative,0.955,1512458214067085317,0.95522344,0.02502872,0.019747669,"en israël, la folie meurtrière frappe à nouveau. après l'attaque terroriste qui a touché tel aviv en son cœur hier, la france se tient plus que jamais aux côtés des israéliens.",2022-04-08 15:51:53+00:00,16487,1467,3005,10974,1041
Negative,0.962,1512441359982022665,0.96167296,0.030590981,0.0077360277,"ukrainian civilians are fleeing the worst. their weapons pushchairs, teddy bears and suitcases. at kramatorsk railway station this morning, families waiting to leave suffered the unthinkable. dozens are dead, hundreds wounded. this is an abomination.",2022-04-08 14:44:54+00:00,13996,2036,2055,9761,144
Negative,0.969,1512426197623492615,0.968941,0.019205537,0.01185345,"les civils ukrainiens fuient pour échapper au pire. leurs armes  des poussettes, des peluches, des bagages. ce matin, gare de kramatorsk, les familles qui allaient partir ont connu l'horreur. des morts par dizaines, des blessés par centaines. abominable.",2022-04-08 13:44:39+00:00,15461,2169,2249,10777,266
Negative,0.846,1510614060349509637,0.8460314,0.070570014,0.083398566,"les images qui nous parviennent de boutcha, ville libérée près de kiev, sont insoutenables. dans les rues, des centaines de civils lâchement assassinés. ma compassion pour les victimes, ma solidarité avec les ukrainiens. les autorités russes devront répondre de ces crimes.",2022-04-03 13:43:52+00:00,54593,7042,10599,35725,1227
Negative,0.356,1509927877516664854,0.35573015,0.33091813,0.3133516,"важко уявити, що пережив викрадений російською армією мер мелітополя. тепер він на волі і ми почули його розповідь. вона приголомшує. я висловив йому та депутаткам верховної ради, що приїхали з ним, наше захоплення та підтримку. пліч-о-пліч з україною, рішуче й до кінця! t.co/idtdlbofzl",2022-04-01 16:17:13+00:00,13500,1457,1914,9933,196
Negative,0.872,1509213455831777281,0.8719212,0.062126458,0.06595238,"aujourd'hui c'est un bâtiment de la croix-rouge qui a été frappé à marioupol. le cicr est un acteur neutre et impartial, qui ne peut être pris pour cible. pas plus que les civils, les soignants ou les malades. à nouveau, avec force : trêve et respect du droit humanitaire !",2022-03-30 16:58:22+00:00,14739,1793,2969,9753,224
Negative,0.777,1508919073001848838,0.77734435,0.067637734,0.15501784,le terrorisme a une nouvelle fois frappé israël. je condamne avec la plus grande fermeté ces attentats meurtriers. mes pensées vont aux victimes et à leurs proches. israël peut compter sur le soutien de la france et sur mon engagement total dans la lutte contre ce fléau.,2022-03-29 21:28:36+00:00,20053,2146,3078,14286,543
Negative,0.867,1507468674420064260,0.8669723,0.075086966,0.05794048,"cette guerre de la russie en ukraine, en empêchant les récoltes et les semences de céréales, entraîne déjà de sérieux problèmes d'approvisionnement. pour prévenir ce qui menace de devenir une crise alimentaire, nous lançons l'initiative food and agriculture resilience mission. t.co/8sa1o9lwyi",2022-03-25 21:25:14+00:00,8852,969,3523,4119,241
Negative,0.44,1507056148117082112,0.44011483,0.20233491,0.35755026,"l’otan a fait un choix, celui de soutenir l'ukraine pour arrêter la guerre, sans faire la guerre.",2022-03-24 18:06:00+00:00,17391,1455,2881,12504,551
Negative,0.715,1507053944031391751,0.7153544,0.22413081,0.06051477,"un mois après le déclenchement de la guerre de la russie contre l'ukraine, où en sommes-nous  t.co/glugs6pzfx",2022-03-24 17:57:14+00:00,2991,444,624,1871,52
Negative,0.882,1506696724018085888,0.8821309,0.073264845,0.04460424,"il y a quatre ans, à carcassonne et trèbes, le terrorisme islamiste prenait la vie de quatre innocents, en blessait quinze autres. ce 23 mars 2018, la france découvrait le visage d’un héros, celui du colonel arnaud beltrame. nous nous souvenons. leur mémoire demeure.",2022-03-23 18:17:46+00:00,8689,973,1224,6447,45
Negative,0.527,1506341151779000325,0.5270236,0.18339431,0.28958204,"dérèglement climatique, fléaux sanitaires, guerres : plus que jamais, à travers le monde, les défis humanitaires nous obligent. nous avons voulu faire du premier forum humanitaire européen un temps fort de la présidence française du conseil de l'union européenne. t.co/l47i29c77l",2022-03-22 18:44:51+00:00,6951,812,2147,3879,113
