Sentiment,Score,Id_Tweet,Negative,Neutral,Positive,Text_Tweet,Date_Tweet,Nb_interaction,retweet_count,reply_count,like_count,quote_count
Negative,0.669,1582416940118978560,0.66891587,0.25295413,0.07812999,"la russie ne voit ""aucun sens"" à garder la même présence diplomatique en occident t.co/vm2uv0oum6 t.co/vg1j0yut1k",2022-10-18 17:02:53+00:00,35,4,12,18,1
Negative,0.872,1582417202451709952,0.8721292,0.09306454,0.034806244,"🎧 ""lola, la polémique fait rage à l'assemblée"" ▶️ écoutez le podcast ""bfm story"" sur notre site et les plateformes de streaming audio 🔊 t.co/x31gsnj3iz t.co/m5atlk2ubi",2022-10-18 17:03:55+00:00,13,3,4,5,1
Neutral,0.672,1582417799363719174,0.194542,0.6717321,0.13372587,"🔴 manifestations pour les salaires: 107.000 participants en france, selon le ministère de l'intérieur t.co/4sv8tx3plb",2022-10-18 17:06:17+00:00,109,15,45,41,8
Neutral,0.582,1582419251301740561,0.31846178,0.5815584,0.09997988,🔴 en direct la cgt annonce 300.000 manifestants dans toute la france t.co/wxksrs5dpf t.co/ko7rejxshr,2022-10-18 17:12:04+00:00,45,6,24,15,0
Positive,0.411,1582420614979022853,0.3324725,0.2568428,0.4106847,royaume-uni: pourquoi liz truss pourrait être la première ministre la plus éphémère de l'histoire t.co/atckk6slnj t.co/kjy7vuf2fi,2022-10-18 17:17:29+00:00,70,16,12,41,1
Neutral,0.687,1582421700297510913,0.12835637,0.68684125,0.18480231,"éducation, fonction publique, transports: le bilan de la mobilisation dans plusieurs secteurs t.co/ofye3yxkwa",2022-10-18 17:21:47+00:00,15,3,1,11,0
Neutral,0.526,1582422204989329408,0.3883427,0.5263391,0.08531815,🔴 en direct manifestations: 15 interpellations dans toute la france t.co/ikz8ka1vgb t.co/hzqul7dpos,2022-10-18 17:23:48+00:00,15,1,4,9,1
Neutral,0.696,1582422369712357379,0.21223633,0.69580376,0.09195997,"manifestations pour les salaires: 107.000 participants en france selon l'intérieur, 300.000 selon la cgt t.co/8edl95ls86 t.co/6yqe0lvfvp",2022-10-18 17:24:27+00:00,32,3,14,15,0
Negative,0.876,1582422544790986752,0.8758778,0.10987316,0.014249046,grève: aucun départ depuis l'aéroport de charleroi en belgique mercredi t.co/epvmmlauaj t.co/pko0ovm8sb,2022-10-18 17:25:09+00:00,16,3,0,13,0
Positive,0.558,1582423039873994752,0.13243334,0.30910328,0.5584634,🔴 alerte info états-unis: biden promet une loi qui garantira le droit à l'avortement en cas de victoire aux midterms t.co/8bwatr4ohg t.co/jeymhbq5wo,2022-10-18 17:27:07+00:00,66,11,14,38,3
Negative,0.648,1582423309580656640,0.6475015,0.25481746,0.097680986,"laurent nuñez: ""il y a eu très peu de débordements"" dans la manifestation parisienne t.co/gcbs3mzgak",2022-10-18 17:28:11+00:00,38,9,7,21,1
Negative,0.695,1582423766553882624,0.6951727,0.23236819,0.07245907,"🎧 ""des casseurs dans la manifestation à paris"" ▶️ écoutez le podcast ""bfm story"" sur notre site et les plateformes de streaming audio 🔊 t.co/9v7pthbxis t.co/drgqxrsnsm",2022-10-18 17:30:00+00:00,12,2,8,2,0
Negative,0.603,1582425013076258816,0.6025091,0.2551296,0.14236137,"laurent nuñez: ""nous avons empêché de nombreuses exactions"" t.co/wnw0qrrpzi",2022-10-18 17:34:57+00:00,49,8,9,32,0
Positive,0.562,1582425156017963015,0.1997456,0.2383107,0.5619437,"le fmi salue la ""discipline budgétaire"" du gouvernement britannique après ses revirements t.co/yaw5acztcb t.co/ywc6fa4eyx",2022-10-18 17:35:31+00:00,17,5,1,11,0
Negative,0.923,1582426137116180481,0.923088,0.06047505,0.016437013,"laurent nuñez: ""8 fonctionnaires de police sont légèrement blessés"" t.co/ulwdv55mlu",2022-10-18 17:39:25+00:00,54,15,9,28,2
Neutral,0.479,1582426787644334080,0.27748072,0.4785608,0.24395847,"laurent nuñez: ""il n'y a pas de rupture dans la doctrine"" du maintien de l'ordre t.co/zx021uy1lu",2022-10-18 17:42:00+00:00,41,9,10,20,2
Negative,0.664,1582427722206236673,0.66382915,0.24599251,0.09017842,"🔴 alerte info l'armée russe affirme que la situation est ""tendue"" pour ses troupes en ukraine t.co/fndt8chxir t.co/e0s9fyjvv4",2022-10-18 17:45:43+00:00,427,101,76,248,2
Negative,0.834,1582430218966687745,0.8341948,0.116033256,0.04977197,l'allemagne limoge le chef de son agence de cybersécurité pour ses liens présumés avec la russie t.co/qdh1vjlqx6 t.co/ehbds5mp7j,2022-10-18 17:55:38+00:00,53,12,2,36,3
Neutral,0.632,1582430919402872832,0.24662891,0.63162154,0.12174955,vidéomanifestation à paris: l’interview de laurent nuñez sur bfmtv en intégralité ➡t.co/8yyu5oyt06 t.co/gr3emduajf,2022-10-18 17:58:25+00:00,14,3,3,8,0
Positive,0.475,1582431317387452417,0.071450606,0.45364675,0.47490263,"🔴 le nouveau podcast ""le titre à la une"" avec @celinekallmann et @fredhermel est en ligne 🎧 ""benzema: le ballon d’or de la revanche"" 🎙 retour sur la carrière d’un surdoué du foot, formé à lyon qui fait les beaux jours du real et des bleus 🔊 t.co/gdcxccvh3u t.co/lbckrcpsgl",2022-10-18 18:00:00+00:00,11,2,4,5,0
Neutral,0.518,1582431795965984771,0.1478254,0.5184148,0.33375987,les sims 4 est désormais gratuit et dévoile un peu de son futur t.co/zn79smrfqs t.co/ogdxchvjye,2022-10-18 18:01:54+00:00,60,11,2,43,4
Neutral,0.453,1582433127099604992,0.12163686,0.4533881,0.424975,carburant: la région provence-alpes-côte d'azur annonce une réduction des tarifs des ter de 50% t.co/m5ilzomye5 t.co/daafcmsat6,2022-10-18 18:07:12+00:00,42,8,5,28,1
Negative,0.914,1582435078956716033,0.9139141,0.06383821,0.022247897,"24h sur bfmtvla journée de grève, le meurtre de lola discuté à l'assemblée et le ballon d'or de karim benzema t.co/ikjdmcejis",2022-10-18 18:14:57+00:00,23,3,4,16,0
Negative,0.595,1582435282351140865,0.59524035,0.2898926,0.11486701,"l'armée russe affirme que la situation est ""tendue"" pour ses troupes en ukraine t.co/jaj58bbazd t.co/y9w0yvv8pg",2022-10-18 18:15:46+00:00,73,9,24,40,0
Negative,0.896,1582435556705042432,0.896153,0.07939564,0.024451371,"meurtre de lola: pour laure lavalette (@laurelavalette), ""si les lois avaient été respectées, une jeune fille n'aurait pas trouvé la mort"" t.co/71us7iyigs",2022-10-18 18:16:51+00:00,335,66,43,222,4
Negative,0.524,1582436767499620353,0.5243032,0.28761017,0.18808657,"laure lavalette (@laurelavalette) sur les oqtf: ""si on commence à toucher au portefeuille, l'état algérien reprendra ses ressortissants"" t.co/uyo1ddsbfi",2022-10-18 18:21:40+00:00,404,94,40,263,7
Negative,0.648,1582437317243174912,0.64845294,0.2446558,0.106891274,"""je passe mon arme dans la cabine et je tire"": une policière témoigne au procès de l'attentat de nice t.co/0vwklcqxpf t.co/g0ex6xwtrt",2022-10-18 18:23:51+00:00,23,1,3,19,0
Negative,0.436,1582439131673939968,0.43562979,0.2015759,0.36279425,"le préfet de police se félicite du ""peu de débordements"" lors de la manifestation parisienne t.co/rjo8wbdhdy t.co/bveg0vglsp",2022-10-18 18:31:03+00:00,34,4,10,18,2
Neutral,0.458,1582441108038160392,0.24068615,0.45805266,0.30126113,"grèce: les recettes touristiques à ""des niveaux records"", selon le gouvernement t.co/sc2buwzkqe t.co/akrocbuvt4",2022-10-18 18:38:55+00:00,41,9,3,29,0
Negative,0.824,1582445248885628928,0.82359225,0.097917184,0.07849045,"neumann se fâche""ce que j'entends à l'assemblée et sur les réseaux sociaux sur l'affaire lola relève de l'ânerie pure et simple"" t.co/hg4gcwavo9",2022-10-18 18:55:22+00:00,1662,254,539,802,67
Negative,0.691,1582446611984023553,0.69094265,0.1859377,0.12311963,"laurent jacobelli (@ljacobelli): ""pour la énième fois, une manifestation qui se voulait pacifiste a terminé en pugilat"" t.co/esyrkdttfq",2022-10-18 19:00:47+00:00,85,17,23,44,1
Negative,0.527,1582450162160398336,0.52722424,0.31363145,0.15914433,"🔴 en direct l'iran se dit prêt à parler avec kiev après les accusations ""infondées"" sur les drones t.co/uljfxgvwqw t.co/ou2bjvehs9",2022-10-18 19:14:53+00:00,58,10,15,30,3
Positive,0.734,1582452020564398094,0.06299945,0.20336576,0.73363477,🌡️ les températures nocturnes sont particulièrement douces dans certaines villes @virgiliahess vous explique pourquoi ⤵ t.co/xqczoflj9k,2022-10-18 19:22:16+00:00,69,7,8,52,2
Neutral,0.851,1582452171047636992,0.0874008,0.8511658,0.06143334,résultat euromillions: le tirage du mardi 18 octobre 2022 t.co/h2fdcy6rqr t.co/8aqi0b6t8x,2022-10-18 19:22:52+00:00,13,3,2,8,0
Positive,0.881,1582458639759314944,0.022430936,0.09690941,0.8806596,"fabrice angei (cgt): ""la journée de mobilisation est réussie"" t.co/ae5r5pi4ro",2022-10-18 19:48:35+00:00,89,4,43,38,4
Negative,0.929,1582459483292254208,0.92875767,0.057543475,0.013698888,adolescent tué dans un manège à saintes: les forains mis en examen pour homicide involontaire t.co/53vsihfboc t.co/jiwmcepng1,2022-10-18 19:51:56+00:00,28,6,7,15,0
Positive,0.474,1582461519345827841,0.071536995,0.45481536,0.47364765,"🔴 le nouveau podcast ""le titre à la une"" avec @celinekallmann et @fredhermel est en ligne 🎧 ""benzema: le ballon d’or de la revanche"" 🎙 retour sur la carrière d’un surdoué du foot, formé à lyon qui fait les beaux jours du real et des bleus 🔊 t.co/gdcxccvh3u t.co/sjegcf3sik",2022-10-18 20:00:01+00:00,7,2,2,3,0
Neutral,0.662,1582462425126707202,0.090795524,0.6620351,0.24716944,un roman co-écrit par édouard philippe bientôt adapté en série télévisée t.co/yl0w4dze0z t.co/uvnnwvhjgu,2022-10-18 20:03:37+00:00,308,19,163,81,45
Neutral,0.535,1582468206710620168,0.31808716,0.5353423,0.14657052,"🔴 alerte info le mouvement de grève reconduit chez totalenergies ""jusqu'à demain"" t.co/rpc5oizngq t.co/txogbelc1j",2022-10-18 20:26:35+00:00,231,34,38,156,3
Positive,0.901,1582470178423595012,0.019668777,0.07927993,0.90105134,"pour frédéric souillot (fo), la mobilisation ""est une réussite"" t.co/szoddzysw2",2022-10-18 20:34:26+00:00,27,1,9,16,1
Neutral,0.495,1582470369482461184,0.2872859,0.49495214,0.21776198,"🔴 alerte info carburant: le mouvement de grève reconduit chez totalenergies ""jusqu'à demain"" t.co/8tlqkftnpg t.co/sfkik8j0ug",2022-10-18 20:35:11+00:00,108,21,26,60,1
Neutral,0.522,1582472457050472449,0.123279884,0.52227175,0.3544484,"🔴 totalenergies: la grève est reconduite ""jusqu'à demain"" t.co/gquwqpv65l",2022-10-18 20:43:29+00:00,47,10,12,22,3
Negative,0.707,1582475945100861449,0.70660216,0.19975339,0.09364445,"💬 ""quand j’ai su que c’était elle, je suis tombé en mille morceaux"" ➡ l’ancien compagnon de la principale suspecte du meurtre de lola témoigne sur bfmtv t.co/bwr5ejzuan",2022-10-18 20:57:20+00:00,125,20,45,52,8
Negative,0.935,1582476658862350341,0.934698,0.044239026,0.021062965,"nadine morano (@nadine__morano) sur le meurtre de lola: ""je suis meurtrie, scandalisée, consternée par ce qui s'est passé"" t.co/ftvrnmicei",2022-10-18 21:00:11+00:00,705,119,155,410,21
Negative,0.502,1582477573996568583,0.5024958,0.31890926,0.17859487,"la grippe ne menace pas que les plus âgés, prévient françois braun qui appelle à la vaccination t.co/gjueeuktxy t.co/gyn2sl8rki",2022-10-18 21:03:49+00:00,715,45,495,118,57
Negative,0.742,1582479388267794432,0.74241483,0.18476722,0.07281794,"nadine morano (@nadine__morano): ""les demandeurs d'asile n'ont pas à circuler librement sur le territoire français sans qu'on sache où ils ne se trouvent"" t.co/1xnjj8qqjb",2022-10-18 21:11:01+00:00,1109,178,159,750,22
Neutral,0.372,1582480131540541444,0.27252936,0.37190062,0.3555699,"netflix explose les attentes avec 2,4 millions d'abonnés supplémentaires t.co/iaoqpw3dbg t.co/idvfuxej52",2022-10-18 21:13:59+00:00,50,7,5,36,2
Negative,0.682,1582481365597097986,0.6817828,0.1899181,0.12829915,"nadine morano (@nadine__morano): ""éric dupond-moretti avait dit qu'il ne serait pas très bon s'il était nommé au gouvernement , il en a fait la démonstration aujourd'hui"" t.co/bu8w351bix",2022-10-18 21:18:53+00:00,684,117,93,463,11
Negative,0.907,1582483419149238273,0.90747386,0.07069672,0.021829477,"l'ukraine accuse la russie d'avoir ""enlevé"" deux employés de la centrale nucléaire de zaporijjia t.co/i6ge97q3qu t.co/o21v8ou5p4",2022-10-18 21:27:02+00:00,36,6,13,17,0
Neutral,0.634,1582486295011467264,0.23113164,0.6341906,0.13467768,la radio britannique prépare des messages à diffuser en cas de black-out généralisé t.co/layzgxghym t.co/2r1c1leqwq,2022-10-18 21:38:28+00:00,122,35,14,59,14
Positive,0.879,1582486551757352960,0.02395085,0.096841134,0.879208,"manuel bompard (@mbompard): ""j'observe, avec satisfaction, une évolution dans la doctrine du maintien de l'ordre"" t.co/vacz5kc7hq",2022-10-18 21:39:29+00:00,30,3,10,16,1
Positive,0.508,1582487505168961539,0.04644016,0.4454983,0.5080615,"vers une nouvelle manifestation lfi manuel bompard (@mbompard) assure que ""toutes les options sont sur la table"" t.co/kmn1xmyxwk",2022-10-18 21:43:17+00:00,59,9,26,24,0
Negative,0.959,1582488885904306178,0.95868886,0.029688403,0.011622654,gendarmes blessés dans la creuse: l'escroc britannique qui les a renversés devant un juge ce jeudi t.co/j37fvbxsk1 t.co/ix23ltxyxi,2022-10-18 21:48:46+00:00,20,3,0,17,0
Positive,0.395,1582489569362317312,0.3236324,0.28098878,0.39537886,"manuel bompard (@mbompard): ""je n'aspire pas au blocage du pays, j'aspire à ce que la vie soit moins difficile pour les gens"" t.co/4e5io9whh8",2022-10-18 21:51:29+00:00,62,7,21,25,9
Neutral,0.496,1582489932764835840,0.15359901,0.49578086,0.35062018,"en pleine réforme, gérald darmanin annonce un nouvel office de la police judiciaire t.co/mpkkrcisds t.co/reifxcocaf",2022-10-18 21:52:55+00:00,34,10,14,9,1
Negative,0.919,1582491879915937792,0.91903293,0.06496401,0.01600295,meurtre de lola: un ancien petit ami de la suspecte décrit une jeune femme perturbée récemment t.co/of2olifggx t.co/vb4ivddkah,2022-10-18 22:00:40+00:00,106,13,57,28,8
Negative,0.916,1582492089988059136,0.91628385,0.059992913,0.023723222,sécheresse: 11 départements au moins devraient bénéficier du régime calamités agricoles t.co/dzjcoyrv9n t.co/lbya7geuel,2022-10-18 22:01:30+00:00,24,7,4,12,1
Negative,0.879,1582494991988887552,0.87858313,0.09697362,0.02444309,cher: le maire d'un village touché par un tir de fusil et blessé à l'épaule t.co/0h4vqdjq3v t.co/gdjgo0kh9k,2022-10-18 22:13:02+00:00,37,9,10,16,2
Negative,0.902,1582499543131648000,0.90247154,0.0725887,0.0249398,"ukraine: pour zelensky, les drones iraniens utilisés par moscou sont un symbole de sa ""faillite militaire"" t.co/7esdvpmqia t.co/hvamhmld4l",2022-10-18 22:31:07+00:00,101,11,36,53,1
Neutral,0.433,1582508956395528193,0.3202131,0.433317,0.24646986,pétrole: les états-unis vont puiser 15 millions de barils supplémentaires dans leurs réserves t.co/3icpzyvgtw t.co/bxeb7drqvo,2022-10-18 23:08:31+00:00,30,7,6,17,0
Negative,0.948,1582513586223865856,0.94766515,0.040783346,0.011551429,"le changement climatique ""menace l'avenir et les droits fondamentaux"" d'un milliard d'enfants t.co/aoccez420r t.co/qvhefqmqcx",2022-10-18 23:26:55+00:00,31,4,12,14,1
Neutral,0.45,1582520701147381760,0.27019134,0.45008314,0.2797255,washington offre deux millions de dollars à cuba après l'ouragan ian t.co/kl25hxmm4q t.co/ycviiijeov,2022-10-18 23:55:11+00:00,21,4,2,15,0
Neutral,0.485,1582530946678636544,0.12867956,0.48534748,0.38597292,la proposition de loi sur les cabinets de conseil adoptée à l'unanimité au sénat t.co/94h8oyjvw6 t.co/kmvuzrdfq3,2022-10-19 00:35:54+00:00,23,5,3,14,1
Negative,0.809,1582544070198509568,0.80856204,0.15806788,0.03337005,"réchauffement climatique: la fonte des glaces pourrait provoquer un ""débordement viral"" t.co/qizgnoz8hy t.co/ec5qh5trun",2022-10-19 01:28:03+00:00,69,16,29,22,2
Negative,0.46,1582555581650444288,0.46014082,0.33789483,0.20196432,"braun rappelle que la grippe ne menace pas que les plus âgés, et appelle à la vaccination t.co/gjueeuktxy t.co/4ptdejjgbq",2022-10-19 02:13:47+00:00,28,2,15,11,0
Negative,0.907,1582555788618629122,0.90704757,0.06947946,0.023472931,"l'ukraine accuse la russie d'avoir ""enlevé"" deux employés de la centrale nucléaire de zaporijjia t.co/i6ge97qbg2 t.co/97auxmnioe",2022-10-19 02:14:37+00:00,17,2,3,12,0
Neutral,0.504,1582555852791242752,0.14319924,0.5036896,0.35311118,"en pleine réforme, gérald darmanin annonce un nouvel office de la police judiciaire t.co/mpkkrcrhlu t.co/32gptgcxhu",2022-10-19 02:14:52+00:00,22,4,4,8,6
Negative,0.96,1582555950308737027,0.95963246,0.028357053,0.012010464,gendarmes blessés dans la creuse: l'escroc britannique qui les a renversés devant un juge ce jeudi t.co/j37fvbxsk1 t.co/finikxuoit,2022-10-19 02:15:15+00:00,18,2,1,14,1
Negative,0.881,1582556067564773377,0.8806862,0.09739069,0.021923102,cher: le maire d'un village touché par un tir de fusil et blessé à l'épaule t.co/0h4vqdbrsv t.co/smajnpwl0x,2022-10-19 02:15:43+00:00,28,6,1,19,2
Negative,0.894,1582556138477789184,0.89440817,0.08178528,0.023806462,"ukraine: pour zelensky, les drones iraniens utilisés par moscou sont un symbole de sa ""faillite militaire"" t.co/7esdvpmqia t.co/ksqaxa8b4k",2022-10-19 02:16:00+00:00,76,8,29,39,0
Negative,0.953,1582556606809899009,0.95332617,0.036918316,0.009755484,"le changement climatique ""menace l'avenir et les droits fondamentaux"" d'un milliard d'enfants t.co/aoccez420r t.co/ecp1zzteho",2022-10-19 02:17:52+00:00,29,4,13,12,0
Neutral,0.445,1582556967515586560,0.31099975,0.44508737,0.24391279,washington offre deux millions de dollars à cuba après le passage de l'ouragan ian t.co/kl25hxmm4q t.co/vb1thxljsr,2022-10-19 02:19:18+00:00,22,3,2,16,1
Negative,0.922,1582582782743777280,0.9223016,0.059135336,0.018563043,"""elle avait un peu perdu la boule"": un ex-petit ami de la suspecte du meurtre de lola décrit une jeune femme perturbée t.co/of2olinfoz t.co/lbktbpnnhm",2022-10-19 04:01:53+00:00,59,4,39,11,5
Positive,0.697,1582584995293675520,0.08294184,0.2203499,0.6967083,jusqu'à 32°c... ce mercredi sera la journée la plus chaude de la semaine la météo vous est présentée par @bbhotelsfr t.co/tii5uwfsmw,2022-10-19 04:10:40+00:00,30,6,6,17,1
Negative,0.545,1582585673164333057,0.54457843,0.28715402,0.16826756,la cgt reconduit la grève chez totalenergies pour le 22ème jour consécutif t.co/bk3mcs8fjv,2022-10-19 04:13:22+00:00,987,179,125,654,29
Negative,0.837,1582586475966697472,0.83658314,0.14351887,0.019898009,meurtre de lola: comment le rn en fait une affaire politique t.co/brcsekdrsv,2022-10-19 04:16:33+00:00,1237,64,822,266,85
Negative,0.921,1582587288655200258,0.9207649,0.06268709,0.016548127,pénurie de carburant: les réservations de dernière minute chutent pour la toussaint t.co/ynxyih5szw t.co/rzi9hpzqlc,2022-10-19 04:19:47+00:00,17,2,2,12,1
Negative,0.9,1582587699893964800,0.8996133,0.07180683,0.02857984,"💬 ""nos chances de survie seraient minuscules"" guerre en ukraine: à quelques kilomètres de la centrale de zaporijia, les habitants de nikopol redoutent une catastrophe nucléaire t.co/ajtcu1fzw5",2022-10-19 04:21:25+00:00,19,5,4,8,2
Negative,0.647,1582587834078461952,0.646602,0.2851056,0.06829241,🍚 pourquoi le riz risque d'être plus rare dans les rayons de supermarchés t.co/o7tdngu31k,2022-10-19 04:21:57+00:00,1360,156,245,434,525
Negative,0.698,1582589992563404800,0.6977783,0.18443419,0.11778756,"bronchiolite: les hospitalisations en hausse de 42%, les médecins appellent à ne pas surcharger les urgences t.co/z3f4pmmaps t.co/g30wpm5p7l",2022-10-19 04:30:31+00:00,20,6,9,5,0
Neutral,0.802,1582590150680379394,0.121158265,0.8021241,0.076717675,quelles voitures électriques sont produites en france t.co/q4bdimtd5w t.co/9ij2nscuyh,2022-10-19 04:31:09+00:00,21,4,8,8,1
Negative,0.903,1582592230660923392,0.90301645,0.079050444,0.01793327,"meurtre de lola: ""choqué"", l'ancien petit ami de la principale suspecte témoigne sur @bfmtv t.co/0xoupngxsh",2022-10-19 04:39:25+00:00,305,28,154,97,26
Neutral,0.476,1582593271196397568,0.27772924,0.47594938,0.24632132,"💬 ""on est obligés d'aller plus loin pour charger du carburant"" @cedricfaiche est avec le conducteur d'un camion qui va ravitailler une station t.co/btioluo7tp",2022-10-19 04:43:33+00:00,14,2,1,11,0
Negative,0.743,1582594591735181313,0.74279445,0.21361811,0.043587428,🦠👶 bronchiolite: 4 régions viennent d'entrer en phase épidémique t.co/ulwkjp3y6u,2022-10-19 04:48:48+00:00,16,7,3,5,1
Negative,0.88,1582595289596035073,0.87991,0.07236087,0.047729157,le choix d'angèlele rappeur drake perd des sommes délirantes dans les paris sportifs t.co/ojqikd8uaz,2022-10-19 04:51:34+00:00,14,3,2,7,2
Negative,0.864,1582596238326784001,0.86441165,0.085443735,0.05014463,"la grève dans les centrales nucléaires pourrait avoir ""des conséquences lourdes"" sur l'approvisionnement en énergie cet hiver t.co/5j2b0kksi3",2022-10-19 04:55:21+00:00,84,17,29,36,2
Negative,0.881,1582597409900613633,0.8814447,0.092667416,0.025888024,"menaces, tentative d'enlèvement... plusieurs femmes accusent un même chauffeur uber et heetch t.co/k8dt15k2ig t.co/9bbnxvmhck",2022-10-19 05:00:00+00:00,27,13,3,10,1
Neutral,0.466,1582598092033085441,0.09198718,0.4658984,0.44211447,budget: le gouvernement devrait annoncer le recours au 49-3 aujourd'hui l'édito de matthieu @croissandeau t.co/8paygwqymy,2022-10-19 05:02:43+00:00,36,6,15,13,2
